from_table,sr_alternate,sr_asciiname,sr_names,sr_scores
Aceh,"Atieh,Atjeh Rivier,Atye,Kroeeng Atjen,Krueng Aceh,Krueng Atjeh",Krueng Aceh,Krueng Aceh,6.534935
Sumatera Utara,"Amihanan nga Sumatra,Andalas Utara,Bac Sumatera,Bắc Sumatera,Daerah Tingkat I Sumatera Utara,Gogledd Sumatra,Ipar Sumatra,Kuzey Sumatra,Noord-Sumatra,Norda Sumatro,Nordsumatra,North Sumatra,Pak Sumatera,Pangulung Sumatra,Pet Su-mun-tap-liap-sen,Pet Sû-mùn-tap-lia̍p-sén,Pivnichna Sumatra,Pohjois-Sumatra,Propinsi Sumatera Utara,Propinsi Sumatra Utara,Provinsi Sumatera Utara,Severna Sumatra,Severnaja Sumatra,Severni Sumatra,Severní Sumatra,Siaures Sumatra,Sumatera Utara,Sumatra Baroh,Sumatra Barôh,Sumatra Kaler,Sumatra Kalér,Sumatra Lor,Sumatra Polnocna,Sumatra Północna,Sumatra Septentrional,Sumatra Settentrionale,Sumatra Utara,Sumatra do Norte,Sumatra du Nord,Umar Sumatra,bei su men da la sheng,beisumatora zhou,sumateulautala ju,swmatray shmaly,swmtrt alshmalyt,uttara sumatra,zpwn swmtrh,Šiaurės Sumatra,Північна Суматра,Северна Суматра,Северная Суматра,Умар Суматра,צפון סומטרה,سوماترای شمالی,سومطرة الشمالية,شمالی سماٹرا,صوبہ اتلا سماٹرا,उत्तर सुमात्रा,ჩრდილოეთი სუმატრა,北スマトラ州,北苏门答腊省,수마트라우타라 주",Sumatera Utara,Sumatera Utara,11.607578
Sumatera Barat,"Daerah Tingkat I Sumatera Barat,Laensi-Sumatra,Länsi-Sumatra,Propinsi Sumatera Barat,Provinsi Sumatera Barat,Sumatera Barat,Sumatra Barat,Sumatra Zachodnia,Sumatra occidental,Tay Sumatera,Tây Sumatera,West Sumatra,West-Sumatra,swmtrt alghrbyt,swmtrt ghrb,سومطرة الغربية,سومطرة غرب",Provinsi Sumatera Barat,Provinsi Sumatera Barat,9.035113
Riau,"Riau,Riouw",Riau,Riau,4.5566325
Jambi,Jambi,Jambi,Jambi,3.4057295
Sumatera Selatan,"Andalas Selatan,Daerah Tingkat I Sumatera Selatan,De Sumatra,Etelae-Sumatra,Etelä-Sumatra,Gueney Sumatra,Güney Sumatra,Jizni Sumatra,Jižní Sumatra,Juzhna Sumatra,Juzhnaja Sumatra,Mauling Sumatra,Nam Su-mun-tap-liap-sen,Nam Sumatera,Nàm Sû-mùn-tap-lia̍p-sén,Pietu Sumatra,Pietų Sumatra,Pivdenna Sumatra,Propinsi Sumatera Selatan,Propinsi Sumatra Selatan,Provinsi Sumatera Selatan,Salatan nga Sumatra,South Sumatra,Southern Sumatra,Suda Sumatro,Sumatera Selatan,Sumatra Kidul,Sumatra Meridional,Sumatra Meridionale,Sumatra Poludniowa,Sumatra Południowa,Sumatra Selatan,Sumatra Seulatan,Sumatra do Sul,Sumatra du Sud,Sydsumatra,Zuid-Sumatra,daksina sumatra,nan su men da la sheng,nansumatora zhou,sumateulaseullatan ju,swmatray jnwby,swmtrt aljnwbyt,Јужна Суматра,Південна Суматра,Южна Суматра,Южная Суматра,Өмнө Суматра,جنوبی سماٹرا,سوماترای جنوبی,سومطرة الجنوبية,صوبہ دکھنی سماٹرا,दक्षिण सुमात्रा,სამხრეთი სუმატრა,南スマトラ州,南苏门答腊省,수마트라슬라탄 주",Sumatera Selatan,Sumatera Selatan,11.687012
Bengkulu,"Bengkulu,Umbulanbengkulu",Bengkulu,Bengkulu,3.2881703
Lampung,"Lampeong,Lampung",Lampeong,Lampeong,1.5287182
Kepulauan Bangka Belitung,"Bangka Belitung Islands,Bangka-Belitung,Bangka–Belitung Islands,Banka-Billiton,Iles Bangka Belitung,Kepulauan Bangka Belitung,Propinsi Kepulauan Bangka Belitung,Provinsi Kepulauan Bangka Belitung,Wyspy Bangka i Belitung,bang jia-wu li dong sheng,banjka - blytwnj,Îles Bangka Belitung,بانجكا - بليتونج,邦加-勿里洞省",Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,15.422908
Kepulauan Riau,"Gugusan Riau,Kepulauan Riau,Pulau-pulau Riouw,Rhio Archipelago,Riow-archipel",Kepulauan Riau,Kepulauan Riau,12.436299
